epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,966.445,1.78228,1.91248,2.05367,0.5517,0.64297,0.68334,0.36834,1.57059,1.60441,1.79462,0.0668805,9.96575e-05,9.96575e-05
2,1647.59,1.65293,1.39074,1.92023,0.62623,0.70164,0.72967,0.39888,1.60455,1.32266,1.82866,0.0336467,0.000199163,0.000199163
3,2600.25,1.60176,1.3096,1.87777,0.69457,0.76481,0.80134,0.42485,1.56505,1.1765,1.77691,0.000412329,0.000298174,0.000298174
4,3242.59,1.56444,1.21262,1.84964,0.68647,0.70563,0.75296,0.42433,1.5139,1.18679,1.73863,0.000297773,0.000297773,0.000297773
5,3794.6,1.51146,1.10794,1.79268,0.67927,0.77953,0.79954,0.43876,1.51287,1.08118,1.70594,0.00029703,0.00029703,0.00029703
6,4314.84,1.48271,1.03164,1.76866,0.79784,0.81672,0.85283,0.48733,1.47624,0.9605,1.7156,0.000296288,0.000296288,0.000296288
7,4838.78,1.44608,0.9836,1.73278,0.70049,0.84338,0.84986,0.49495,1.46873,0.92267,1.6786,0.000295545,0.000295545,0.000295545
8,5362.95,1.41476,0.92487,1.70466,0.76701,0.81821,0.85321,0.48565,1.53895,0.97156,1.76192,0.000294802,0.000294802,0.000294802
9,5847.59,1.39535,0.88219,1.68535,0.80133,0.87181,0.87467,0.50402,1.49026,0.84575,1.70145,0.00029406,0.00029406,0.00029406
10,6296.9,1.36283,0.84516,1.66327,0.87453,0.85779,0.90854,0.5278,1.45573,0.80717,1.67367,0.000293317,0.000293317,0.000293317
11,6755.18,1.33504,0.83538,1.63445,0.86044,0.83929,0.90117,0.51991,1.45452,0.78219,1.67056,0.000292575,0.000292575,0.000292575
12,7227.61,1.32206,0.79498,1.6274,0.86826,0.85404,0.90111,0.54944,1.41529,0.78366,1.65396,0.000291833,0.000291833,0.000291833
13,7634.19,1.29959,0.74905,1.60613,0.88792,0.83339,0.90759,0.53778,1.43251,0.79737,1.65936,0.00029109,0.00029109,0.00029109
