epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,599.647,1.73573,1.81347,2.00617,0.7238,0.68066,0.71245,0.39167,1.5818,1.4654,1.83229,0.0667547,3.32786e-05,3.32786e-05
2,1150.53,1.53222,1.21478,1.83176,0.71816,0.80516,0.82593,0.47029,1.45762,1.07215,1.7372,0.0334545,6.648e-05,6.648e-05
3,1681.78,1.4577,1.05158,1.75166,0.76838,0.81851,0.83678,0.47558,1.43933,1.0478,1.70822,0.000154284,9.95495e-05,9.95495e-05
4,2207.87,1.40693,0.95788,1.71898,0.83594,0.78505,0.86367,0.50406,1.46681,0.93773,1.72457,9.9406e-05,9.9406e-05,9.9406e-05
5,2733.81,1.36165,0.85982,1.67529,0.86313,0.81804,0.8808,0.51968,1.42796,0.87631,1.71006,9.9208e-05,9.9208e-05,9.9208e-05
6,3259.08,1.33145,0.8199,1.64494,0.85936,0.84278,0.8994,0.53616,1.42419,0.83503,1.66752,9.901e-05,9.901e-05,9.901e-05
7,3784.64,1.27918,0.76175,1.5993,0.84921,0.87949,0.91132,0.55639,1.3756,0.8,1.64234,9.8812e-05,9.8812e-05,9.8812e-05
8,4309.29,1.25822,0.72653,1.57821,0.90758,0.86316,0.94796,0.58865,1.36087,0.7174,1.6349,9.8614e-05,9.8614e-05,9.8614e-05
9,4833.71,1.22739,0.68987,1.55213,0.89299,0.85381,0.93502,0.56388,1.40705,0.72009,1.66364,9.8416e-05,9.8416e-05,9.8416e-05
10,5357.07,1.19241,0.65766,1.52218,0.85812,0.8775,0.92083,0.55654,1.39185,0.79617,1.67729,9.8218e-05,9.8218e-05,9.8218e-05
11,5879.42,1.16728,0.63865,1.49843,0.85423,0.86934,0.92779,0.57635,1.33878,0.73291,1.63374,9.802e-05,9.802e-05,9.802e-05
12,6402.08,1.14988,0.60953,1.48942,0.84271,0.88727,0.91669,0.57267,1.37271,0.76457,1.6556,9.7822e-05,9.7822e-05,9.7822e-05
13,6923.94,1.12351,0.58413,1.46534,0.92777,0.86927,0.94436,0.57784,1.39834,0.65849,1.67743,9.7624e-05,9.7624e-05,9.7624e-05
14,7483.15,1.11484,0.58304,1.45453,0.92672,0.886,0.94238,0.5926,1.35967,0.65609,1.64394,9.7426e-05,9.7426e-05,9.7426e-05
15,8009.01,1.07353,0.56317,1.42546,0.87038,0.89706,0.93834,0.57941,1.37775,0.66988,1.66738,9.7228e-05,9.7228e-05,9.7228e-05
16,8531.94,1.05379,0.54732,1.40184,0.87649,0.90812,0.94295,0.58137,1.36734,0.68051,1.68007,9.703e-05,9.703e-05,9.703e-05
17,9054.53,1.0426,0.52984,1.39585,0.9026,0.90167,0.95389,0.57485,1.3991,0.62803,1.70504,9.6832e-05,9.6832e-05,9.6832e-05
18,9577.58,1.02151,0.51554,1.3799,0.94029,0.86447,0.95226,0.57949,1.406,0.645,1.71305,9.6634e-05,9.6634e-05,9.6634e-05
19,10100.3,0.99982,0.50614,1.35792,0.91659,0.86144,0.93675,0.58234,1.35315,0.62814,1.64776,9.6436e-05,9.6436e-05,9.6436e-05
20,10623,0.98113,0.48687,1.346,0.9035,0.88568,0.93726,0.5856,1.38085,0.6533,1.71165,9.6238e-05,9.6238e-05,9.6238e-05
21,11145.8,0.96003,0.48508,1.33157,0.92228,0.91029,0.95131,0.57867,1.40331,0.6243,1.74386,9.604e-05,9.604e-05,9.604e-05
22,11668.8,0.95591,0.47827,1.32492,0.90578,0.89698,0.93459,0.57362,1.40409,0.63632,1.72096,9.5842e-05,9.5842e-05,9.5842e-05
23,12191.2,0.92087,0.46091,1.29947,0.88619,0.9225,0.95035,0.59322,1.39222,0.63003,1.70489,9.5644e-05,9.5644e-05,9.5644e-05
24,12715.7,0.91679,0.45644,1.28971,0.9125,0.90397,0.94855,0.59288,1.37918,0.62214,1.71262,9.5446e-05,9.5446e-05,9.5446e-05
25,13238.2,0.90033,0.44586,1.28091,0.91543,0.91201,0.93567,0.56303,1.41486,0.64199,1.76622,9.5248e-05,9.5248e-05,9.5248e-05
26,13761.3,0.88115,0.43467,1.26857,0.92402,0.85916,0.93671,0.58111,1.38436,0.66863,1.75237,9.505e-05,9.505e-05,9.505e-05
27,14284.2,0.8765,0.42817,1.25872,0.92046,0.92064,0.94812,0.57887,1.41394,0.62952,1.7564,9.4852e-05,9.4852e-05,9.4852e-05
28,14807.1,0.86842,0.42335,1.25231,0.92867,0.89614,0.94188,0.59367,1.41006,0.61156,1.78388,9.4654e-05,9.4654e-05,9.4654e-05
29,15329.6,0.85238,0.42099,1.2443,0.90301,0.89325,0.93995,0.57837,1.42194,0.65308,1.81276,9.4456e-05,9.4456e-05,9.4456e-05
30,15852.6,0.83732,0.41541,1.22777,0.91154,0.88258,0.93618,0.57764,1.40835,0.66707,1.81096,9.4258e-05,9.4258e-05,9.4258e-05
31,16375.4,0.83255,0.40742,1.22445,0.90874,0.88967,0.9327,0.58222,1.38377,0.62875,1.77498,9.406e-05,9.406e-05,9.406e-05
32,16897.9,0.81441,0.40196,1.2107,0.91947,0.91789,0.94456,0.59026,1.38134,0.63781,1.77288,9.3862e-05,9.3862e-05,9.3862e-05
33,17420.3,0.81235,0.39645,1.2078,0.90716,0.90091,0.94621,0.59543,1.39954,0.61975,1.79552,9.3664e-05,9.3664e-05,9.3664e-05
34,17945.6,0.80032,0.39321,1.19476,0.92705,0.87983,0.9482,0.59158,1.40488,0.63375,1.7901,9.3466e-05,9.3466e-05,9.3466e-05
35,18468.3,0.78302,0.38203,1.18334,0.92689,0.88923,0.95012,0.60545,1.35666,0.64188,1.74895,9.3268e-05,9.3268e-05,9.3268e-05
36,18992.9,0.7827,0.38823,1.1834,0.93792,0.82865,0.92889,0.58006,1.38209,0.69852,1.78555,9.307e-05,9.307e-05,9.307e-05
37,19516.3,0.76402,0.38264,1.17179,0.92371,0.90629,0.94199,0.58651,1.40841,0.61759,1.84721,9.2872e-05,9.2872e-05,9.2872e-05
38,20039.1,0.75978,0.37488,1.17081,0.91859,0.8856,0.94511,0.5862,1.40679,0.64596,1.83286,9.2674e-05,9.2674e-05,9.2674e-05
39,20561.4,0.75352,0.37386,1.16511,0.90731,0.87966,0.93669,0.5801,1.40967,0.64736,1.84307,9.2476e-05,9.2476e-05,9.2476e-05
40,21084.2,0.74185,0.36854,1.14983,0.91003,0.90737,0.96115,0.60248,1.38917,0.61648,1.81811,9.2278e-05,9.2278e-05,9.2278e-05
41,21606.2,0.72946,0.36149,1.14366,0.90799,0.90922,0.9486,0.58742,1.40006,0.62977,1.87146,9.208e-05,9.208e-05,9.208e-05
42,22128.2,0.72522,0.35477,1.13743,0.91575,0.91898,0.94534,0.5889,1.42934,0.61943,1.89913,9.1882e-05,9.1882e-05,9.1882e-05
43,22649.7,0.71659,0.35201,1.13122,0.93202,0.88496,0.93522,0.5845,1.39775,0.64113,1.88494,9.1684e-05,9.1684e-05,9.1684e-05
44,23171.7,0.71122,0.35041,1.12453,0.91875,0.8989,0.94243,0.57918,1.44408,0.63502,1.91035,9.1486e-05,9.1486e-05,9.1486e-05
45,23693,0.70499,0.35183,1.12246,0.87682,0.89786,0.92938,0.55928,1.4485,0.64445,1.90685,9.1288e-05,9.1288e-05,9.1288e-05
46,24215.3,0.69536,0.34724,1.11463,0.8934,0.88588,0.9419,0.58628,1.40621,0.68181,1.88146,9.109e-05,9.109e-05,9.109e-05
47,24736.6,0.69125,0.34106,1.11436,0.89244,0.90474,0.93021,0.57311,1.37503,0.6628,1.82882,9.0892e-05,9.0892e-05,9.0892e-05
48,25258.7,0.68517,0.34419,1.1105,0.9096,0.89072,0.93521,0.57771,1.42703,0.69488,1.90234,9.0694e-05,9.0694e-05,9.0694e-05
49,25780.6,0.68076,0.33789,1.10327,0.91741,0.85879,0.93706,0.57793,1.41469,0.65842,1.87014,9.0496e-05,9.0496e-05,9.0496e-05
50,26302.3,0.66935,0.33745,1.09371,0.92016,0.89813,0.94227,0.58359,1.41052,0.63981,1.9169,9.0298e-05,9.0298e-05,9.0298e-05
51,26824.1,0.66367,0.32885,1.09274,0.93406,0.90788,0.94337,0.58422,1.42576,0.63222,1.93838,9.01e-05,9.01e-05,9.01e-05
52,27345.9,0.66654,0.32571,1.0927,0.94206,0.89149,0.94635,0.59393,1.3981,0.65902,1.8803,8.9902e-05,8.9902e-05,8.9902e-05
53,27867.8,0.64891,0.32145,1.07696,0.92562,0.89943,0.94814,0.5883,1.41684,0.62737,1.91376,8.9704e-05,8.9704e-05,8.9704e-05
54,28389.8,0.64361,0.32396,1.07298,0.91628,0.90087,0.94715,0.58598,1.41512,0.6515,1.9397,8.9506e-05,8.9506e-05,8.9506e-05
55,28911.8,0.64166,0.322,1.07559,0.91989,0.92637,0.96127,0.59523,1.41505,0.60241,1.90228,8.9308e-05,8.9308e-05,8.9308e-05
56,29434.3,0.63647,0.3187,1.07231,0.90379,0.91967,0.94894,0.58322,1.43552,0.61351,1.95514,8.911e-05,8.911e-05,8.911e-05
57,29956.4,0.6297,0.31149,1.06785,0.90248,0.90554,0.94061,0.58999,1.40243,0.65274,1.90997,8.8912e-05,8.8912e-05,8.8912e-05
58,30478.9,0.63296,0.31605,1.06948,0.90762,0.91927,0.95136,0.58621,1.43026,0.62523,1.92981,8.8714e-05,8.8714e-05,8.8714e-05
59,31000.9,0.61697,0.31037,1.05805,0.93976,0.87513,0.94435,0.59578,1.41333,0.63961,1.9448,8.8516e-05,8.8516e-05,8.8516e-05
60,31523.2,0.61902,0.30799,1.05707,0.91948,0.92136,0.94747,0.59704,1.41156,0.66892,1.91981,8.8318e-05,8.8318e-05,8.8318e-05
61,32045.9,0.62012,0.31013,1.05821,0.91065,0.90862,0.94911,0.59863,1.42188,0.65243,1.93465,8.812e-05,8.812e-05,8.812e-05
