epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.197,0.61423,2.51191,1.11882,0.93899,0.90244,0.96356,0.71492,0.77977,0.57508,1.2701,0.0667342,3.32691e-06,3.32691e-06
2,810.455,0.43585,0.25739,0.91767,1,0.92537,0.97304,0.74793,0.72513,0.79837,1.24856,0.0334042,6.62728e-06,6.62728e-06
3,1202.7,0.30905,0.16283,0.77296,0.97223,0.90244,0.96994,0.76289,0.7248,0.75581,1.296,7.41207e-05,9.89464e-06,9.89464e-06
4,1594.53,0.28035,0.14364,0.7683,0.99838,0.90244,0.97234,0.76756,0.71976,0.63652,1.31581,9.8515e-06,9.8515e-06,9.8515e-06
5,1993.61,0.25137,0.15649,0.73481,0.95122,0.95122,0.97325,0.7653,0.71129,0.6237,1.31477,9.802e-06,9.802e-06,9.802e-06
6,2383.98,0.25257,0.13138,0.72808,0.95238,0.97561,0.98451,0.77714,0.71096,0.55528,1.3433,9.7525e-06,9.7525e-06,9.7525e-06
7,2775.03,0.23681,0.12875,0.72215,0.97561,0.97561,0.98578,0.78019,0.71644,0.57417,1.35336,9.703e-06,9.703e-06,9.703e-06
8,3166.98,0.2326,0.12397,0.71948,1,0.92557,0.96229,0.77667,0.71549,0.61592,1.36494,9.6535e-06,9.6535e-06,9.6535e-06
9,3556.63,0.23684,0.12538,0.72684,0.95238,0.97561,0.98305,0.76933,0.72222,0.56243,1.37798,9.604e-06,9.604e-06,9.604e-06
10,3946.88,0.22111,0.1229,0.72108,0.97433,0.92566,0.95867,0.76615,0.72142,0.63571,1.37257,9.5545e-06,9.5545e-06,9.5545e-06
11,4336.78,0.22012,0.12894,0.71378,0.97432,0.92558,0.95783,0.76031,0.72935,0.62669,1.40196,9.505e-06,9.505e-06,9.505e-06
12,4727.27,0.21564,0.11786,0.72156,1,0.92558,0.96135,0.76577,0.73275,0.61892,1.40728,9.4555e-06,9.4555e-06,9.4555e-06
13,5116.91,0.21548,0.11618,0.70466,0.97431,0.92513,0.97138,0.77483,0.7287,0.57797,1.40457,9.406e-06,9.406e-06,9.406e-06
14,5507.35,0.21468,0.11724,0.7103,1,0.92575,0.97329,0.78093,0.72731,0.4936,1.42527,9.3565e-06,9.3565e-06,9.3565e-06
15,5897.19,0.20912,0.11436,0.71536,0.97431,0.92498,0.98214,0.77202,0.73762,0.46244,1.44968,9.307e-06,9.307e-06,9.307e-06
16,6287.23,0.2095,0.1155,0.70594,1,0.92561,0.97329,0.7704,0.73435,0.5111,1.44098,9.2575e-06,9.2575e-06,9.2575e-06
17,6676.9,0.19814,0.11164,0.70252,1,0.92572,0.96229,0.7824,0.73837,0.57491,1.47072,9.208e-06,9.208e-06,9.208e-06
18,7067.07,0.19369,0.10548,0.68433,0.97434,0.92597,0.96084,0.77215,0.73178,0.63754,1.45867,9.1585e-06,9.1585e-06,9.1585e-06
19,7456.54,0.19825,0.10925,0.6968,0.97433,0.92575,0.95911,0.76094,0.74158,0.60241,1.46175,9.109e-06,9.109e-06,9.109e-06
20,7846.5,0.19178,0.10661,0.69154,0.97433,0.92574,0.9583,0.76487,0.73474,0.59618,1.45315,9.0595e-06,9.0595e-06,9.0595e-06
21,8235.9,0.18561,0.10496,0.68734,0.97435,0.92664,0.95911,0.76318,0.73915,0.60576,1.46527,9.01e-06,9.01e-06,9.01e-06
22,8625.64,0.18811,0.10715,0.68482,0.97433,0.92566,0.95918,0.76328,0.73517,0.67809,1.43501,8.9605e-06,8.9605e-06,8.9605e-06
23,9014.96,0.18337,0.10545,0.6966,0.97433,0.9256,0.95995,0.77316,0.73179,0.66224,1.43439,8.911e-06,8.911e-06,8.911e-06
24,9404.83,0.1901,0.10487,0.69096,0.97433,0.92571,0.95834,0.76251,0.73899,0.62812,1.45103,8.8615e-06,8.8615e-06,8.8615e-06
25,9794.21,0.1749,0.10089,0.68397,0.97433,0.92596,0.95918,0.76927,0.72611,0.68041,1.4184,8.812e-06,8.812e-06,8.812e-06
26,10184,0.18161,0.10413,0.69686,0.97434,0.92608,0.95834,0.7636,0.72924,0.62716,1.43231,8.7625e-06,8.7625e-06,8.7625e-06
27,10573.2,0.18062,0.10134,0.67585,0.97435,0.92649,0.96848,0.7654,0.73019,0.68999,1.44778,8.713e-06,8.713e-06,8.713e-06
28,10962.9,0.18737,0.11037,0.68993,0.97434,0.92626,0.95783,0.75852,0.74343,0.69597,1.44557,8.6635e-06,8.6635e-06,8.6635e-06
29,11352.3,0.17313,0.10047,0.6783,0.97363,0.92683,0.97079,0.76557,0.73251,0.64408,1.44792,8.614e-06,8.614e-06,8.614e-06
30,11741.9,0.17647,0.10044,0.68056,0.97383,0.92683,0.95911,0.76597,0.73866,0.61133,1.46451,8.5645e-06,8.5645e-06,8.5645e-06
31,12130.8,0.174,0.10904,0.66871,0.97435,0.92644,0.95995,0.76094,0.74742,0.66878,1.45337,8.515e-06,8.515e-06,8.515e-06
32,12520.3,0.17949,0.10265,0.69221,0.97436,0.92682,0.95918,0.75852,0.74524,0.75114,1.44783,8.4655e-06,8.4655e-06,8.4655e-06
33,12908.8,0.16604,0.09546,0.66593,0.97494,0.94882,0.97325,0.7639,0.73886,0.61656,1.46692,8.416e-06,8.416e-06,8.416e-06
34,13298.7,0.17367,0.09987,0.68692,0.95238,0.97561,0.98379,0.76395,0.73392,0.55852,1.45072,8.3665e-06,8.3665e-06,8.3665e-06
35,13687.9,0.18058,0.10364,0.69982,0.99998,0.92683,0.96229,0.7604,0.73537,0.59686,1.43346,8.317e-06,8.317e-06,8.317e-06
36,14077.4,0.17055,0.09644,0.66374,0.99926,0.92683,0.96135,0.76607,0.7465,0.57872,1.46694,8.2675e-06,8.2675e-06,8.2675e-06
37,14466.6,0.17695,0.09853,0.6781,0.9993,0.92683,0.96047,0.76543,0.74877,0.57362,1.48728,8.218e-06,8.218e-06,8.218e-06
38,14856.6,0.17041,0.09841,0.68321,0.99928,0.92683,0.97304,0.75908,0.73944,0.56845,1.47701,8.1685e-06,8.1685e-06,8.1685e-06
39,15246,0.17301,0.10057,0.68654,0.97434,0.92615,0.97138,0.76606,0.73332,0.49917,1.4635,8.119e-06,8.119e-06,8.119e-06
40,15636.1,0.17258,0.09967,0.68136,1,0.9266,0.97257,0.76615,0.74128,0.50094,1.47476,8.0695e-06,8.0695e-06,8.0695e-06
41,16025.7,0.1803,0.10228,0.68231,0.97398,0.92683,0.97138,0.77256,0.73607,0.53593,1.47044,8.02e-06,8.02e-06,8.02e-06
42,16415.7,0.16038,0.09581,0.67656,0.99908,0.92683,0.98406,0.7719,0.73873,0.52922,1.48572,7.9705e-06,7.9705e-06,7.9705e-06
43,16805.3,0.16861,0.09777,0.68216,0.97436,0.9268,0.97138,0.76973,0.72754,0.54337,1.45141,7.921e-06,7.921e-06,7.921e-06
44,17195.2,0.16612,0.09569,0.67757,1,0.92626,0.97375,0.76923,0.72743,0.5227,1.46156,7.8715e-06,7.8715e-06,7.8715e-06
45,17584.6,0.16476,0.09614,0.6789,0.97406,0.92683,0.95918,0.7614,0.73791,0.57626,1.47546,7.822e-06,7.822e-06,7.822e-06
46,17975,0.16797,0.09669,0.67632,0.97315,0.92683,0.96952,0.75852,0.74193,0.56515,1.48927,7.7725e-06,7.7725e-06,7.7725e-06
47,18364.4,0.15611,0.09303,0.66058,0.99903,0.92683,0.97189,0.76505,0.74184,0.53571,1.49257,7.723e-06,7.723e-06,7.723e-06
48,18754.3,0.15989,0.09363,0.67234,0.99879,0.92683,0.97189,0.76349,0.74881,0.55501,1.513,7.6735e-06,7.6735e-06,7.6735e-06
49,19143.6,0.16115,0.09776,0.6744,0.99855,0.92683,0.96047,0.75106,0.75193,0.58733,1.54115,7.624e-06,7.624e-06,7.624e-06
50,19533.3,0.15647,0.09085,0.64475,0.9989,0.92683,0.96047,0.76976,0.74573,0.62889,1.51523,7.5745e-06,7.5745e-06,7.5745e-06
51,19922.7,0.16106,0.09432,0.66435,0.9995,0.92683,0.96047,0.75921,0.746,0.66963,1.50733,7.525e-06,7.525e-06,7.525e-06
52,20312.4,0.15655,0.09395,0.67691,0.974,0.92683,0.95956,0.75057,0.74661,0.68761,1.51351,7.4755e-06,7.4755e-06,7.4755e-06
