epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,443.297,0.74523,1.19796,1.09537,0.83534,0.81481,0.85069,0.45757,1.1647,0.78579,1.56176,0.066814,3.32192e-05,3.32192e-05
2,1037.99,0.56325,0.30903,0.95209,0.85353,0.77778,0.85778,0.47918,1.15243,0.78512,1.43343,0.0335137,6.62231e-05,6.62231e-05
3,2004.59,0.47805,0.24215,0.89717,0.85766,0.66667,0.82251,0.44886,1.24485,0.87531,1.76988,0.000213052,9.8897e-05,9.8897e-05
4,2700.07,0.42608,0.21524,0.86081,0.82143,0.85185,0.87718,0.47083,1.22443,0.80536,1.72279,9.8515e-05,9.8515e-05,9.8515e-05
5,3179.77,0.41395,0.20378,0.85264,0.81132,0.7963,0.84949,0.46323,1.25706,0.91271,1.66763,9.802e-05,9.802e-05,9.802e-05
6,3763.96,0.4124,0.20644,0.85914,0.85795,0.75926,0.84038,0.44985,1.22014,0.90255,1.71009,9.7525e-05,9.7525e-05,9.7525e-05
7,4281.06,0.40801,0.2067,0.8404,0.7931,0.85185,0.84188,0.49797,1.18738,0.88438,1.6793,9.703e-05,9.703e-05,9.703e-05
8,4901.54,0.39542,0.20247,0.84729,0.85499,0.76441,0.85272,0.4835,1.15465,0.83257,1.64547,9.6535e-05,9.6535e-05,9.6535e-05
9,5405.85,0.37177,0.18377,0.81079,0.75862,0.81481,0.83257,0.44993,1.27251,0.96383,1.77812,9.604e-05,9.604e-05,9.604e-05
10,5889.38,0.3774,0.19144,0.83633,0.87935,0.80994,0.88259,0.47365,1.23743,0.89121,1.71923,9.5545e-05,9.5545e-05,9.5545e-05
11,6391.42,0.37804,0.18318,0.83493,0.78689,0.88889,0.88746,0.46887,1.24754,0.80637,1.71671,9.505e-05,9.505e-05,9.505e-05
12,6945.51,0.37631,0.18859,0.84525,0.72581,0.83333,0.81691,0.46958,1.20683,0.96484,1.56398,9.4555e-05,9.4555e-05,9.4555e-05
13,7430.32,0.36191,0.18228,0.83427,0.86614,0.87037,0.90027,0.48501,1.22003,0.71416,1.75529,9.406e-05,9.406e-05,9.406e-05
14,7976.66,0.35686,0.18192,0.81318,0.89579,0.7963,0.86993,0.49756,1.16909,0.77659,1.62933,9.3565e-05,9.3565e-05,9.3565e-05
15,8467.42,0.35511,0.17815,0.80935,0.80328,0.90741,0.87377,0.48673,1.23582,0.78249,1.727,9.307e-05,9.307e-05,9.307e-05
16,9004.15,0.35537,0.17674,0.81065,0.82143,0.85185,0.84814,0.45532,1.2422,0.90595,1.74513,9.2575e-05,9.2575e-05,9.2575e-05
17,9450.93,0.34629,0.17962,0.82218,0.83636,0.85185,0.84938,0.47696,1.22856,0.8288,1.76923,9.208e-05,9.208e-05,9.208e-05
18,9973.21,0.33866,0.16843,0.81468,0.83636,0.85185,0.86278,0.46014,1.20794,0.79061,1.75545,9.1585e-05,9.1585e-05,9.1585e-05
19,10424.3,0.34846,0.17872,0.83287,0.86275,0.81481,0.85336,0.45316,1.22948,0.87102,1.75432,9.109e-05,9.109e-05,9.109e-05
20,10908.4,0.34719,0.17785,0.8118,0.85417,0.75926,0.82255,0.41154,1.24036,0.75276,1.90489,9.0595e-05,9.0595e-05,9.0595e-05
21,11354.7,0.32666,0.16998,0.79786,0.73438,0.87037,0.8599,0.42892,1.2313,0.82554,1.75377,9.01e-05,9.01e-05,9.01e-05
22,11851.8,0.32399,0.17348,0.79704,0.85687,0.7761,0.79508,0.39268,1.29841,0.88121,1.89636,8.9605e-05,8.9605e-05,8.9605e-05
23,12310.7,0.33782,0.18641,0.82267,0.77049,0.87037,0.86984,0.46888,1.22358,0.88452,1.76216,8.911e-05,8.911e-05,8.911e-05
24,12808.9,0.32654,0.16532,0.81093,0.77966,0.85185,0.83848,0.45583,1.17548,0.93472,1.69957,8.8615e-05,8.8615e-05,8.8615e-05
25,13319.4,0.31554,0.16594,0.80311,0.91106,0.75875,0.85848,0.41972,1.33114,0.88456,1.91392,8.812e-05,8.812e-05,8.812e-05
26,13797.1,0.31915,0.1674,0.80687,0.85185,0.85185,0.85342,0.40999,1.31112,0.85242,1.83992,8.7625e-05,8.7625e-05,8.7625e-05
27,14226.4,0.3235,0.17521,0.80689,0.89362,0.77778,0.80753,0.41463,1.2423,1.15112,1.80017,8.713e-05,8.713e-05,8.713e-05
28,14693.5,0.30841,0.16221,0.79338,0.87037,0.87037,0.85152,0.45078,1.24164,0.78503,1.76781,8.6635e-05,8.6635e-05,8.6635e-05
29,15195.2,0.31116,0.1696,0.81495,0.88924,0.74341,0.82805,0.45222,1.20099,0.85392,1.78072,8.614e-05,8.614e-05,8.614e-05
30,15829.6,0.31689,0.16694,0.79669,0.90881,0.73829,0.82088,0.44019,1.23063,0.87617,1.79667,8.5645e-05,8.5645e-05,8.5645e-05
31,16451.7,0.31778,0.19184,0.80774,0.87234,0.75926,0.82395,0.44282,1.24708,1.05653,1.81441,8.515e-05,8.515e-05,8.515e-05
32,17042.7,0.29871,0.15618,0.78377,0.87755,0.7963,0.86336,0.46462,1.21935,0.86333,1.7711,8.4655e-05,8.4655e-05,8.4655e-05
33,17620.5,0.31075,0.16393,0.80872,0.90105,0.81481,0.86013,0.49729,1.18803,0.93499,1.7149,8.416e-05,8.416e-05,8.416e-05
34,18194.7,0.29368,0.1554,0.77107,0.82143,0.85185,0.88259,0.44695,1.27421,0.87781,1.98633,8.3665e-05,8.3665e-05,8.3665e-05
35,18815,0.29589,0.15821,0.79004,0.91391,0.85185,0.89598,0.4555,1.25956,0.7573,2.01671,8.317e-05,8.317e-05,8.317e-05
36,19413.8,0.2963,0.16306,0.79652,0.8749,0.77706,0.877,0.45692,1.29046,0.75299,2.04609,8.2675e-05,8.2675e-05,8.2675e-05
37,19993.1,0.28377,0.14742,0.78357,0.81356,0.88889,0.88157,0.47162,1.23462,0.71494,1.81521,8.218e-05,8.218e-05,8.218e-05
38,20498.1,0.28326,0.15144,0.78321,0.80769,0.77778,0.80546,0.42479,1.25951,0.90313,1.86127,8.1685e-05,8.1685e-05,8.1685e-05
39,20992.3,0.2886,0.15421,0.79702,0.86428,0.82559,0.85536,0.43146,1.29682,0.74248,1.88607,8.119e-05,8.119e-05,8.119e-05
40,21428.1,0.29208,0.157,0.79964,0.82692,0.7963,0.8255,0.42146,1.28522,0.94485,1.90455,8.0695e-05,8.0695e-05,8.0695e-05
41,21987.9,0.28442,0.15536,0.79401,0.86364,0.7037,0.78861,0.41468,1.3124,0.96807,1.90956,8.02e-05,8.02e-05,8.02e-05
42,22516.5,0.27416,0.14878,0.78848,0.92295,0.66547,0.81205,0.42885,1.2907,1.0194,1.92786,7.9705e-05,7.9705e-05,7.9705e-05
43,23072.9,0.28907,0.15223,0.78772,0.88889,0.59259,0.75051,0.4138,1.28724,1.27645,1.93005,7.921e-05,7.921e-05,7.921e-05
44,23588.5,0.27471,0.14773,0.77352,0.82,0.75926,0.80567,0.42822,1.28715,1.06551,1.89663,7.8715e-05,7.8715e-05,7.8715e-05
45,24221.7,0.27343,0.15213,0.78798,0.81633,0.74074,0.78716,0.42862,1.23532,0.98238,1.93914,7.822e-05,7.822e-05,7.822e-05
46,24718.8,0.28053,0.15411,0.78929,0.84783,0.72222,0.80078,0.4326,1.26488,1.16969,1.93667,7.7725e-05,7.7725e-05,7.7725e-05
47,25247,0.26634,0.14212,0.76952,0.83721,0.66667,0.74194,0.42906,1.24163,1.3152,1.86156,7.723e-05,7.723e-05,7.723e-05
48,25777.4,0.26458,0.14215,0.77701,0.87179,0.62963,0.75076,0.4111,1.21334,1.21976,1.80617,7.6735e-05,7.6735e-05,7.6735e-05
49,26267.9,0.28719,0.15433,0.79815,0.83333,0.74074,0.78492,0.45453,1.14702,1.04341,1.77607,7.624e-05,7.624e-05,7.624e-05
50,26849.3,0.26205,0.14024,0.74082,0.86,0.7963,0.82742,0.43873,1.25047,0.96544,1.96592,7.5745e-05,7.5745e-05,7.5745e-05
51,27366.1,0.27612,0.14744,0.80057,0.875,0.77778,0.80885,0.44885,1.24703,0.94216,1.92279,7.525e-05,7.525e-05,7.525e-05
52,27867.8,0.26777,0.1441,0.77277,0.85714,0.77778,0.81643,0.43489,1.27399,0.91216,1.96297,7.4755e-05,7.4755e-05,7.4755e-05
53,28381,0.25818,0.1456,0.7861,0.86275,0.81481,0.83198,0.43212,1.31432,0.78592,2.00365,7.426e-05,7.426e-05,7.426e-05
54,28956.6,0.2535,0.13942,0.76096,0.84314,0.7963,0.83162,0.45192,1.26876,0.79416,1.97281,7.3765e-05,7.3765e-05,7.3765e-05
55,29491.5,0.25454,0.13981,0.7774,0.81132,0.7963,0.81634,0.41938,1.35038,0.76836,2.06729,7.327e-05,7.327e-05,7.327e-05
56,30049,0.2518,0.13855,0.76277,0.85119,0.77778,0.83146,0.45982,1.25021,0.70664,1.94007,7.2775e-05,7.2775e-05,7.2775e-05
57,30657.6,0.25532,0.13984,0.77264,0.82692,0.7963,0.83478,0.4566,1.22607,0.89222,1.89514,7.228e-05,7.228e-05,7.228e-05
58,31297.1,0.2496,0.13449,0.77212,0.875,0.77778,0.82969,0.43495,1.24371,0.9044,1.90183,7.1785e-05,7.1785e-05,7.1785e-05
59,31862.1,0.25196,0.13694,0.7819,0.86792,0.85185,0.86974,0.49564,1.21919,0.74531,1.80496,7.129e-05,7.129e-05,7.129e-05
60,32450,0.24868,0.13539,0.77702,0.875,0.77778,0.83845,0.46894,1.24505,0.81718,1.85035,7.0795e-05,7.0795e-05,7.0795e-05
61,32925.9,0.2451,0.13749,0.78893,0.86047,0.68519,0.79379,0.43186,1.23178,1.10464,1.80067,7.03e-05,7.03e-05,7.03e-05
62,33445.4,0.24329,0.13839,0.76511,0.85417,0.75926,0.8191,0.42365,1.27594,0.98048,1.91598,6.9805e-05,6.9805e-05,6.9805e-05
63,33864.9,0.25424,0.13707,0.77688,0.86,0.7963,0.83343,0.45627,1.26336,0.89457,1.83733,6.931e-05,6.931e-05,6.931e-05
64,34463.6,0.23912,0.13009,0.77607,0.87755,0.7963,0.83289,0.42618,1.30291,0.89158,1.99637,6.8815e-05,6.8815e-05,6.8815e-05
65,34955.2,0.23087,0.13447,0.75661,0.875,0.77778,0.84128,0.46206,1.24814,0.93198,1.89807,6.832e-05,6.832e-05,6.832e-05
66,35416.3,0.23362,0.12885,0.7476,0.88,0.81481,0.84235,0.48158,1.21842,0.79538,1.85722,6.7825e-05,6.7825e-05,6.7825e-05
67,35809.2,0.23805,0.13419,0.7631,0.89362,0.77778,0.82203,0.45832,1.27689,1.07641,1.88589,6.733e-05,6.733e-05,6.733e-05
68,36282.1,0.23286,0.13023,0.75851,0.86275,0.81481,0.84571,0.45892,1.25465,0.91921,1.88285,6.6835e-05,6.6835e-05,6.6835e-05
69,36708.9,0.23855,0.12945,0.76561,0.88889,0.74074,0.81769,0.44248,1.23585,1.01857,1.81739,6.634e-05,6.634e-05,6.634e-05
70,37182.5,0.23745,0.13095,0.76552,0.89241,0.64815,0.76755,0.39134,1.23531,1.07418,1.85333,6.5845e-05,6.5845e-05,6.5845e-05
71,37634.9,0.24573,0.13866,0.7794,0.8913,0.75926,0.82719,0.45952,1.25392,0.83032,1.92218,6.535e-05,6.535e-05,6.535e-05
72,38117.3,0.23694,0.13031,0.78104,0.85417,0.75926,0.79905,0.45445,1.20897,1.01749,1.81163,6.4855e-05,6.4855e-05,6.4855e-05
73,38577.3,0.22856,0.12619,0.76882,0.85106,0.74074,0.79415,0.44466,1.23831,0.91009,1.84416,6.436e-05,6.436e-05,6.436e-05
74,39200,0.22587,0.12553,0.77201,0.83333,0.74074,0.79006,0.42997,1.22403,0.98476,1.86008,6.3865e-05,6.3865e-05,6.3865e-05
75,39661.5,0.22843,0.1299,0.75241,0.82143,0.85185,0.84644,0.46013,1.22169,1.00951,1.82116,6.337e-05,6.337e-05,6.337e-05
76,40166.4,0.22982,0.13065,0.76877,0.86,0.7963,0.83796,0.46839,1.25159,0.95565,1.92354,6.2875e-05,6.2875e-05,6.2875e-05
