epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.486,0.80423,2.77774,1.33949,0.89541,0.5,0.69241,0.31547,1.61443,1.52226,2.34789,0.0667642,3.32691e-05,3.32691e-05
2,811.483,0.57164,0.32733,1.02557,1,0.74432,0.85402,0.4112,1.49808,0.93335,2.47893,0.0334638,6.62728e-05,6.62728e-05
3,1203.1,0.49925,0.2806,0.96891,0.96315,0.77778,0.87619,0.42797,1.47703,0.92191,2.39421,0.000163172,9.89464e-05,9.89464e-05
4,1593.37,0.43195,0.22771,0.87316,0.85714,0.83333,0.88713,0.42567,1.50631,0.91265,2.54473,9.8515e-05,9.8515e-05,9.8515e-05
5,1981.39,0.43292,0.2255,0.88436,0.96778,0.86111,0.91148,0.4561,1.41346,0.72444,2.37235,9.802e-05,9.802e-05,9.802e-05
6,2371.47,0.41619,0.20539,0.84903,1,0.79877,0.90535,0.44583,1.44113,0.9402,2.39146,9.7525e-05,9.7525e-05,9.7525e-05
7,2759.57,0.41543,0.20988,0.86216,0.96722,0.81982,0.89132,0.43544,1.46081,0.89366,2.47584,9.703e-05,9.703e-05,9.703e-05
8,3148.24,0.41148,0.22921,0.85324,0.9188,0.83333,0.89619,0.43996,1.49029,0.70318,2.50768,9.6535e-05,9.6535e-05,9.6535e-05
9,3536.52,0.39594,0.20601,0.83906,0.90909,0.83333,0.90725,0.45783,1.4443,0.85345,2.44136,9.604e-05,9.604e-05,9.604e-05
10,3926.97,0.39403,0.20579,0.84304,0.9676,0.82955,0.91259,0.47756,1.40879,0.73054,2.34343,9.5545e-05,9.5545e-05,9.5545e-05
11,4316.27,0.38337,0.19848,0.79313,0.96932,0.87776,0.93351,0.49874,1.38941,0.61103,2.45617,9.505e-05,9.505e-05,9.505e-05
12,4706.24,0.35928,0.19462,0.78222,0.93453,0.79318,0.90302,0.4808,1.39572,0.7752,2.50043,9.4555e-05,9.4555e-05,9.4555e-05
13,5093.99,0.37432,0.19769,0.81915,0.9011,0.75944,0.89174,0.44421,1.41097,0.85804,2.4738,9.406e-05,9.406e-05,9.406e-05
14,5482.62,0.37374,0.19765,0.82335,0.96563,0.78049,0.88368,0.44044,1.42621,0.98823,2.55848,9.3565e-05,9.3565e-05,9.3565e-05
15,5870.19,0.34,0.17856,0.76993,0.96667,0.80555,0.90506,0.44179,1.44339,0.86646,2.57296,9.307e-05,9.307e-05,9.307e-05
16,6258.69,0.36409,0.19431,0.79411,0.96643,0.79983,0.91351,0.44609,1.43511,0.94205,2.51012,9.2575e-05,9.2575e-05,9.2575e-05
17,6646.54,0.33633,0.18615,0.76074,0.96418,0.7477,0.89247,0.45187,1.46236,0.93178,2.5284,9.208e-05,9.208e-05,9.208e-05
18,7034.53,0.34652,0.18703,0.79196,0.90323,0.77778,0.87148,0.47739,1.37722,0.91057,2.39852,9.1585e-05,9.1585e-05,9.1585e-05
19,7422.16,0.34615,0.19119,0.78058,1,0.83333,0.9166,0.48055,1.42627,0.85979,2.48025,9.109e-05,9.109e-05,9.109e-05
20,7810.09,0.35187,0.18822,0.78419,0.96042,0.72222,0.85729,0.44746,1.4331,1.09807,2.49981,9.0595e-05,9.0595e-05,9.0595e-05
21,8198.03,0.357,0.18762,0.79525,0.96434,0.75118,0.87611,0.46774,1.36926,1.01351,2.43417,9.01e-05,9.01e-05,9.01e-05
22,8586.33,0.32164,0.17948,0.75581,0.90625,0.80556,0.88432,0.44036,1.44501,0.98484,2.60194,8.9605e-05,8.9605e-05,8.9605e-05
23,8974.53,0.34741,0.19149,0.78938,0.99675,0.75,0.88702,0.46381,1.39421,0.90324,2.5424,8.911e-05,8.911e-05,8.911e-05
24,9362.6,0.32289,0.19532,0.78029,1,0.80242,0.90821,0.48177,1.39258,0.858,2.50985,8.8615e-05,8.8615e-05,8.8615e-05
25,9750.1,0.33379,0.18227,0.79621,0.94694,0.77778,0.88989,0.47136,1.40908,0.77561,2.55177,8.812e-05,8.812e-05,8.812e-05
26,10138.3,0.33067,0.1833,0.78356,0.93939,0.86111,0.92091,0.45852,1.40136,0.86399,2.55049,8.7625e-05,8.7625e-05,8.7625e-05
